	time (s)     A(t) 		SEM 10 traj
   8.6000000e-03   2.7100000e+02   3.4705107e+00
   8.6200000e-03   2.7060000e+02   3.6337920e+00
   8.6400000e-03   2.7100000e+02   3.4608926e+00
   8.6600000e-03   2.7050000e+02   3.1313824e+00
   8.6800000e-03   2.7080000e+02   3.3790202e+00
   8.7000000e-03   2.7130000e+02   3.1448370e+00
   8.7200000e-03   2.7030000e+02   3.1869526e+00
   8.7400000e-03   2.7010000e+02   3.2161053e+00
   8.7600000e-03   2.6960000e+02   3.3105891e+00
   8.7800000e-03   2.6940000e+02   3.3506218e+00
   8.8000000e-03   2.6960000e+02   3.5752234e+00
   8.8200000e-03   2.7040000e+02   3.7004504e+00
   8.8400000e-03   2.7020000e+02   3.9350279e+00
   8.8600000e-03   2.6970000e+02   4.0056904e+00
   8.8800000e-03   2.6950000e+02   3.9306488e+00
   8.9000000e-03   2.6940000e+02   4.1531782e+00
   8.9200000e-03   2.6890000e+02   4.2359572e+00
   8.9400000e-03   2.6860000e+02   4.1825032e+00
   8.9600000e-03   2.6860000e+02   4.2195313e+00
   8.9800000e-03   2.6880000e+02   4.1171727e+00
   9.0000000e-03   2.6900000e+02   4.2190046e+00
   9.0200000e-03   2.6880000e+02   4.3812733e+00
   9.0400000e-03   2.6840000e+02   4.2274237e+00
   9.0600000e-03   2.6900000e+02   4.4146222e+00
   9.0800000e-03   2.6890000e+02   4.6054316e+00
   9.1000000e-03   2.6840000e+02   4.1878130e+00
   9.1200000e-03   2.6800000e+02   4.3486907e+00
   9.1400000e-03   2.6860000e+02   4.2718718e+00
   9.1600000e-03   2.6840000e+02   4.1020320e+00
   9.1800000e-03   2.6840000e+02   4.2744720e+00
   9.2000000e-03   2.6860000e+02   4.2431644e+00
   9.2200000e-03   2.6960000e+02   4.5122057e+00
   9.2400000e-03   2.6980000e+02   4.3251204e+00
   9.2600000e-03   2.7020000e+02   4.2105687e+00
   9.2800000e-03   2.6950000e+02   4.2091171e+00
