	time (s)	A(t)		SEM for 10 traj
   2.2900000e-02   7.2500000e+01   8.4656167e-01
   2.2950000e-02   7.2400000e+01   8.5893992e-01
   2.3000000e-02   7.2400000e+01   8.5893992e-01
   2.3050000e-02   7.2200000e+01   8.9193921e-01
   2.3100000e-02   7.2100000e+01   9.2436164e-01
   2.3150000e-02   7.2000000e+01   8.9442719e-01
   2.3200000e-02   7.2000000e+01   8.9442719e-01
   2.3250000e-02   7.1900000e+01   8.7496032e-01
   2.3300000e-02   7.1800000e+01   8.4063468e-01
   2.3350000e-02   7.1500000e+01   9.0982294e-01
   2.3400000e-02   7.1300000e+01   8.8254682e-01
   2.3450000e-02   7.1200000e+01   8.9193921e-01
   2.3500000e-02   7.1300000e+01   9.4339811e-01
   2.3550000e-02   7.1200000e+01   9.4044907e-01
   2.3600000e-02   7.1200000e+01   9.4044907e-01
   2.3650000e-02   7.1200000e+01   9.4044907e-01
   2.3700000e-02   7.1300000e+01   9.1954095e-01
   2.3750000e-02   7.1200000e+01   9.4044907e-01
   2.3800000e-02   7.1200000e+01   9.4044907e-01
   2.3850000e-02   7.1000000e+01   9.1893658e-01
   2.3900000e-02   7.0900000e+01   9.9387010e-01
   2.3950000e-02   7.0700000e+01   9.6666667e-01
   2.4000000e-02   7.0700000e+01   9.6666667e-01
   2.4050000e-02   7.0700000e+01   9.6666667e-01
   2.4100000e-02   7.0500000e+01   9.5742711e-01
   2.4150000e-02   7.0500000e+01   9.5742711e-01
   2.4200000e-02   7.0400000e+01   9.9107125e-01
   2.4250000e-02   7.0300000e+01   9.5510325e-01
   2.4300000e-02   7.0100000e+01   8.6216781e-01
   2.4350000e-02   7.0100000e+01   8.3599575e-01
   2.4400000e-02   7.0100000e+01   8.3599575e-01
   2.4450000e-02   7.0100000e+01   8.3599575e-01
   2.4500000e-02   7.0100000e+01   8.3599575e-01
   2.4550000e-02   7.0000000e+01   8.2999331e-01
   2.4600000e-02   6.9900000e+01   9.0000000e-01
   2.4650000e-02   7.0000000e+01   8.8191710e-01
   2.4700000e-02   7.0200000e+01   8.7939373e-01
   2.4750000e-02   7.0100000e+01   8.8756846e-01
