     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   9.1000000e+03   1.0416667e+00   2.5000000e-01   4.1416667e+01   4.0166667e+01   6.2229167e+02   6.2354167e+02   0.0000000e+00   3.6713333e+03
   9.2000000e+03   1.0416667e+00   2.5000000e-01   4.1812500e+01   4.0583333e+01   6.2189583e+02   6.2312500e+02   0.0000000e+00   3.6705208e+03
   9.3000000e+03   1.0833333e+00   2.5000000e-01   4.2041667e+01   4.0895833e+01   6.2162500e+02   6.2277083e+02   0.0000000e+00   3.6698958e+03
   9.4000000e+03   1.0833333e+00   2.5000000e-01   4.2500000e+01   4.1250000e+01   6.2116667e+02   6.2241667e+02   0.0000000e+00   3.6690833e+03
   9.5000000e+03   1.1250000e+00   2.5000000e-01   4.2958333e+01   4.1520833e+01   6.2066667e+02   6.2210417e+02   0.0000000e+00   3.6682708e+03
   9.6000000e+03   1.1250000e+00   2.5000000e-01   4.3312500e+01   4.1958333e+01   6.2031250e+02   6.2166667e+02   0.0000000e+00   3.6674792e+03
   9.7000000e+03   1.1666667e+00   2.5000000e-01   4.3687500e+01   4.2291667e+01   6.1989583e+02   6.2129167e+02   0.0000000e+00   3.6666875e+03
   9.8000000e+03   1.1666667e+00   2.5000000e-01   4.4062500e+01   4.2541667e+01   6.1952083e+02   6.2104167e+02   0.0000000e+00   3.6660625e+03
   9.9000000e+03   1.2083333e+00   2.5000000e-01   4.4333333e+01   4.2770833e+01   6.1920833e+02   6.2077083e+02   0.0000000e+00   3.6654792e+03
   1.0000000e+04   1.2708333e+00   2.5000000e-01   4.4666667e+01   4.2958333e+01   6.1881250e+02   6.2052083e+02   0.0000000e+00   3.6648333e+03
   1.0100000e+04   1.3333333e+00   2.5000000e-01   4.5000000e+01   4.3416667e+01   6.1841667e+02   6.2000000e+02   0.0000000e+00   3.6639167e+03
   1.0200000e+04   1.3541667e+00   2.5000000e-01   4.5208333e+01   4.3687500e+01   6.1818750e+02   6.1970833e+02   0.0000000e+00   3.6633958e+03
   1.0300000e+04   1.4166667e+00   2.5000000e-01   4.5416667e+01   4.3875000e+01   6.1791667e+02   6.1945833e+02   0.0000000e+00   3.6628750e+03
   1.0400000e+04   1.4583333e+00   2.5000000e-01   4.5875000e+01   4.4104167e+01   6.1741667e+02   6.1918750e+02   0.0000000e+00   3.6621042e+03
   1.0500000e+04   1.4791667e+00   2.7083333e-01   4.6333333e+01   4.4625000e+01   6.1691667e+02   6.1862500e+02   0.0000000e+00   3.6610833e+03
   1.0600000e+04   1.5416667e+00   2.7083333e-01   4.6500000e+01   4.5000000e+01   6.1668750e+02   6.1818750e+02   0.0000000e+00   3.6604167e+03
