	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   1.1274680e-03   9.2589144e+01   9.2589144e+01   3.7402694e+03   7.4045518e+00   7.4045518e+00   2.3326819e-05   2.3326819e-05   4.4026707e-03   4.1688774e-03
   1.1537833e-03   9.2407133e+01   9.2407133e+01   3.7399056e+03   7.5861540e+00   7.5861540e+00   2.3870289e-05   2.3870289e-05   4.4976812e-03   4.4808886e-03
   1.1807128e-03   9.2221271e+01   9.2221271e+01   3.7395340e+03   7.7715852e+00   7.7715852e+00   2.4422825e-05   2.4422825e-05   4.5940521e-03   4.8144319e-03
   1.2082709e-03   9.2031486e+01   9.2031486e+01   3.7391547e+03   7.9609154e+00   7.9609154e+00   2.4984467e-05   2.4984467e-05   4.6917745e-03   5.1706828e-03
   1.2364722e-03   9.1837705e+01   9.1837705e+01   3.7387673e+03   8.1542154e+00   8.1542154e+00   2.5555250e-05   2.5555250e-05   4.7908376e-03   5.5508761e-03
   1.2653318e-03   9.1639865e+01   9.1639865e+01   3.7383718e+03   8.3515524e+00   8.3515524e+00   2.6135944e-05   2.6135944e-05   4.8911847e-03   5.9530393e-03
   1.2948649e-03   9.1437878e+01   9.1437878e+01   3.7379680e+03   8.5530067e+00   8.5530067e+00   2.6726848e-05   2.6726848e-05   4.9928705e-03   6.3824904e-03
   1.3250873e-03   9.1231659e+01   9.1231659e+01   3.7375558e+03   8.7586583e+00   8.7586583e+00   2.7327364e-05   2.7327364e-05   5.0959477e-03   6.8454177e-03
   1.3560151e-03   9.1021132e+01   9.1021132e+01   3.7371350e+03   8.9685812e+00   8.9685812e+00   2.7937519e-05   2.7937519e-05   5.2004022e-03   7.3437102e-03
   1.3876648e-03   9.0806221e+01   9.0806221e+01   3.7367054e+03   9.1828504e+00   9.1828504e+00   2.8557332e-05   2.8557332e-05   5.3062178e-03   7.8793532e-03
   1.4200532e-03   9.0586846e+01   9.0586846e+01   3.7362668e+03   9.4015410e+00   9.4015410e+00   2.9186810e-05   2.9186810e-05   5.4133752e-03   8.4544329e-03
   1.4531975e-03   9.0362932e+01   9.0362932e+01   3.7358192e+03   9.6247289e+00   9.6247289e+00   2.9825953e-05   2.9825953e-05   5.5218527e-03   9.0711420e-03
