	time (us)      MABM               AB           AM              BM               A              B                 ABM           M           
   1.1800000e+04   2.0781250e+00   0.0000000e+00   4.6500000e+01   4.7062500e+01   5.1421875e+01   5.0859375e+01   0.0000000e+00   3.6572812e+03
   1.1900000e+04   2.0937500e+00   0.0000000e+00   4.6765625e+01   4.7250000e+01   5.1140625e+01   5.0656250e+01   0.0000000e+00   3.6567969e+03
   1.2000000e+04   2.1406250e+00   0.0000000e+00   4.7062500e+01   4.7406250e+01   5.0796875e+01   5.0453125e+01   0.0000000e+00   3.6562500e+03
   1.2100000e+04   2.2031250e+00   0.0000000e+00   4.7250000e+01   4.7671875e+01   5.0546875e+01   5.0125000e+01   0.0000000e+00   3.6556719e+03
   1.2200000e+04   2.2500000e+00   0.0000000e+00   4.7453125e+01   4.7890625e+01   5.0296875e+01   4.9859375e+01   0.0000000e+00   3.6551562e+03
   1.2300000e+04   2.2812500e+00   0.0000000e+00   4.7828125e+01   4.8093750e+01   4.9890625e+01   4.9625000e+01   0.0000000e+00   3.6545156e+03
   1.2400000e+04   2.3125000e+00   0.0000000e+00   4.8031250e+01   4.8218750e+01   4.9656250e+01   4.9468750e+01   0.0000000e+00   3.6541250e+03
   1.2500000e+04   2.3437500e+00   0.0000000e+00   4.8234375e+01   4.8500000e+01   4.9421875e+01   4.9156250e+01   0.0000000e+00   3.6535781e+03
   1.2600000e+04   2.3593750e+00   0.0000000e+00   4.8500000e+01   4.8828125e+01   4.9140625e+01   4.8812500e+01   0.0000000e+00   3.6529531e+03
   1.2700000e+04   2.4062500e+00   0.0000000e+00   4.8718750e+01   4.9000000e+01   4.8875000e+01   4.8593750e+01   0.0000000e+00   3.6524688e+03
   1.2800000e+04   2.4687500e+00   0.0000000e+00   4.8890625e+01   4.9234375e+01   4.8640625e+01   4.8296875e+01   0.0000000e+00   3.6519375e+03
   1.2900000e+04   2.4843750e+00   0.0000000e+00   4.9062500e+01   4.9515625e+01   4.8453125e+01   4.8000000e+01   0.0000000e+00   3.6514531e+03
   1.3000000e+04   2.4843750e+00   0.0000000e+00   4.9203125e+01   4.9796875e+01   4.8312500e+01   4.7718750e+01   0.0000000e+00   3.6510312e+03
   1.3100000e+04   2.5625000e+00   0.0000000e+00   4.9328125e+01   4.9921875e+01   4.8109375e+01   4.7515625e+01   0.0000000e+00   3.6506250e+03
   1.3200000e+04   2.6250000e+00   0.0000000e+00   4.9515625e+01   5.0062500e+01   4.7859375e+01   4.7312500e+01   0.0000000e+00   3.6501719e+03
   1.3300000e+04   2.6875000e+00   0.0000000e+00   4.9671875e+01   5.0234375e+01   4.7640625e+01   4.7078125e+01   0.0000000e+00   3.6497188e+03
   1.3400000e+04   2.7187500e+00   0.0000000e+00   4.9906250e+01   5.0468750e+01   4.7375000e+01   4.6812500e+01   0.0000000e+00   3.6491875e+03
   1.3500000e+04   2.7812500e+00   0.0000000e+00   5.0078125e+01   5.0703125e+01   4.7140625e+01   4.6515625e+01   0.0000000e+00   3.6486562e+03
   1.3600000e+04   2.8750000e+00   1.5625000e-02   5.0140625e+01   5.0843750e+01   4.6968750e+01   4.6265625e+01   0.0000000e+00   3.6482656e+03
   1.3700000e+04   2.8750000e+00   1.5625000e-02   5.0406250e+01   5.1015625e+01   4.6703125e+01   4.6093750e+01   0.0000000e+00   3.6478281e+03
   1.3800000e+04   2.8906250e+00   1.5625000e-02   5.0609375e+01   5.1312500e+01   4.6484375e+01   4.5781250e+01   0.0000000e+00   3.6472969e+03
   1.3900000e+04   2.9218750e+00   1.5625000e-02   5.0765625e+01   5.1484375e+01   4.6296875e+01   4.5578125e+01   0.0000000e+00   3.6469062e+03
   1.4000000e+04   2.9687500e+00   1.5625000e-02   5.1000000e+01   5.1718750e+01   4.6015625e+01   4.5296875e+01   0.0000000e+00   3.6463438e+03
   1.4100000e+04   3.0312500e+00   1.5625000e-02   5.1171875e+01   5.1890625e+01   4.5781250e+01   4.5062500e+01   0.0000000e+00   3.6458750e+03
   1.4200000e+04   3.0937500e+00   1.5625000e-02   5.1359375e+01   5.2046875e+01   4.5531250e+01   4.4843750e+01   0.0000000e+00   3.6454062e+03
   1.4300000e+04   3.1250000e+00   1.5625000e-02   5.1703125e+01   5.2218750e+01   4.5156250e+01   4.4640625e+01   0.0000000e+00   3.6448281e+03
   1.4400000e+04   3.1250000e+00   1.5625000e-02   5.1859375e+01   5.2390625e+01   4.5000000e+01   4.4468750e+01   0.0000000e+00   3.6445000e+03
   1.4500000e+04   3.1406250e+00   1.5625000e-02   5.2000000e+01   5.2593750e+01   4.4843750e+01   4.4250000e+01   0.0000000e+00   3.6441250e+03
   1.4600000e+04   3.1718750e+00   1.5625000e-02   5.2125000e+01   5.2796875e+01   4.4687500e+01   4.4015625e+01   0.0000000e+00   3.6437344e+03
   1.4700000e+04   3.2656250e+00   1.5625000e-02   5.2312500e+01   5.2875000e+01   4.4406250e+01   4.3843750e+01   0.0000000e+00   3.6432812e+03
   1.4800000e+04   3.2656250e+00   1.5625000e-02   5.2578125e+01   5.2984375e+01   4.4140625e+01   4.3734375e+01   0.0000000e+00   3.6429062e+03
   1.4900000e+04   3.2812500e+00   1.5625000e-02   5.2750000e+01   5.3109375e+01   4.3953125e+01   4.3593750e+01   0.0000000e+00   3.6425781e+03
   1.5000000e+04   3.3437500e+00   1.5625000e-02   5.2921875e+01   5.3234375e+01   4.3718750e+01   4.3406250e+01   0.0000000e+00   3.6421562e+03
   1.5100000e+04   3.4062500e+00   1.5625000e-02   5.3171875e+01   5.3390625e+01   4.3406250e+01   4.3187500e+01   0.0000000e+00   3.6416250e+03
   1.5200000e+04   3.4062500e+00   1.5625000e-02   5.3359375e+01   5.3781250e+01   4.3218750e+01   4.2796875e+01   0.0000000e+00   3.6410469e+03
   1.5300000e+04   3.4843750e+00   1.5625000e-02   5.3437500e+01   5.3968750e+01   4.3062500e+01   4.2531250e+01   0.0000000e+00   3.6406250e+03
   1.5400000e+04   3.5156250e+00   1.5625000e-02   5.3640625e+01   5.4062500e+01   4.2828125e+01   4.2406250e+01   0.0000000e+00   3.6402656e+03
   1.5500000e+04   3.5625000e+00   1.5625000e-02   5.3968750e+01   5.4250000e+01   4.2453125e+01   4.2171875e+01   0.0000000e+00   3.6396562e+03
   1.5600000e+04   3.6093750e+00   1.5625000e-02   5.4125000e+01   5.4390625e+01   4.2250000e+01   4.1984375e+01   0.0000000e+00   3.6392656e+03
   1.5700000e+04   3.6562500e+00   1.5625000e-02   5.4296875e+01   5.4640625e+01   4.2031250e+01   4.1687500e+01   0.0000000e+00   3.6387500e+03
   1.5800000e+04   3.7500000e+00   1.5625000e-02   5.4500000e+01   5.4765625e+01   4.1734375e+01   4.1468750e+01   0.0000000e+00   3.6382344e+03
   1.5900000e+04   3.8125000e+00   1.5625000e-02   5.4703125e+01   5.4984375e+01   4.1468750e+01   4.1187500e+01   0.0000000e+00   3.6376875e+03
   1.6000000e+04   3.8437500e+00   1.5625000e-02   5.4937500e+01   5.5156250e+01   4.1203125e+01   4.0984375e+01   0.0000000e+00   3.6372188e+03
   1.6100000e+04   3.9062500e+00   1.5625000e-02   5.5109375e+01   5.5328125e+01   4.0968750e+01   4.0750000e+01   0.0000000e+00   3.6367500e+03
   1.6200000e+04   3.9531250e+00   1.5625000e-02   5.5312500e+01   5.5500000e+01   4.0718750e+01   4.0531250e+01   0.0000000e+00   3.6362812e+03
   1.6300000e+04   4.0156250e+00   1.5625000e-02   5.5421875e+01   5.5703125e+01   4.0546875e+01   4.0265625e+01   0.0000000e+00   3.6358438e+03
   1.6400000e+04   4.0937500e+00   1.5625000e-02   5.5609375e+01   5.5812500e+01   4.0281250e+01   4.0078125e+01   0.0000000e+00   3.6353906e+03
   1.6500000e+04   4.1093750e+00   1.5625000e-02   5.5953125e+01   5.6046875e+01   3.9921875e+01   3.9828125e+01   0.0000000e+00   3.6347812e+03
   1.6600000e+04   4.1406250e+00   1.5625000e-02   5.6109375e+01   5.6125000e+01   3.9734375e+01   3.9718750e+01   0.0000000e+00   3.6344844e+03
   1.6700000e+04   4.1718750e+00   1.5625000e-02   5.6375000e+01   5.6328125e+01   3.9437500e+01   3.9484375e+01   0.0000000e+00   3.6339531e+03
